indicador,estado
1-1-1,alcanzado
1-2-1,progreso
1-2-2,progreso
1-3-1,progreso
1-4-1,alcanzado
1-4-2,notstarted
1-5-1,alcanzado
1-5-2,alcanzado
1-5-3,notstarted
1-5-4,alcanzado
1-a-1,notapplicable
1-a-2,alcanzado
1-b-1,notstarted
2-1-1,notstarted
2-1-2,alcanzado
2-2-1,notstarted
2-2-2,retroceso
2-2-3,notstarted
2-3-1,alcanzado
2-3-2,retroceso
2-4-1,progreso
2-4-E1,alcanzado
2-4-E2,progreso
2-5-1,notstarted
2-5-2,notstarted
2-a-1,noevaluado
2-a-2,notstarted
2-b-1,notstarted
2-c-1,retroceso
3-1-1,alcanzado
3-1-2,alcanzado
3-2-1,alcanzado
3-2-2,alcanzado
3-3-1,progreso
3-3-2,progreso
3-3-3,noevaluado
3-3-4,alcanzado
3-3-5,notstarted
3-4-1,progreso
3-4-2,retroceso
3-4-E1,alcanzado
3-4-E2,noevaluado
3-5-1,noevaluado
3-5-2,retroceso
3-6-1,retroceso
3-7-1,noevaluado
3-7-2,alcanzado
3-8-1,alcanzado
3-8-2,retroceso
3-9-1,notstarted
3-9-2,notstarted
3-9-3,retroceso
3-a-1,alcanzado
3-b-1,retroceso
3-b-2,notstarted
3-b-3,notstarted
3-c-1,alcanzado
3-d-1,notstarted
3-d-2,notstarted
4-1-1,retroceso
4-1-2,progreso
4-1-E1,alcanzado
4-2-1,notstarted
4-2-2,alcanzado
4-3-1,alcanzado
4-4-1,progreso
4-5-1,progreso
4-6-1,alcanzado
4-7-1,notstarted
4-a-1,alcanzado
4-b-1,notstarted
4-c-1,alcanzado
5-1-1,alcanzado
5-2-1,retroceso
5-2-2,retroceso
5-3-1,alcanzado
5-3-2,notstarted
5-4-1,progreso
5-5-1,progreso
5-5-2,retroceso
5-6-1,notstarted
5-6-2,notstarted
5-a-1,progreso
5-a-2,alcanzado
5-b-1,alcanzado
5-c-1,notstarted
6-1-1,alcanzado
6-2-1,alcanzado
6-3-1,notstarted
6-3-2,retroceso
6-4-1,notstarted
6-4-2,noevaluado
6-5-1,notstarted
6-5-2,alcanzado
6-6-1,notstarted
6-a-1,notstarted
6-b-1,alcanzado
7-1-1,alcanzado
7-1-2,alcanzado
7-2-1,progreso
7-3-1,progreso
7-a-1,notstarted
7-b-1,alcanzado
8-1-1,alcanzado
8-10-1,noevaluado
8-10-2,alcanzado
8-2-1,alcanzado
8-3-1,notstarted
8-4-1,notstarted
8-4-2,progreso
8-5-1,progreso
8-5-2,progreso
8-5-E1,progreso
8-6-1,progreso
8-7-1,notstarted
8-8-1,notstarted
8-8-2,notstarted
8-9-1,noevaluado
8-a-1,notstarted
8-b-1,noevaluado
9-1-1,alcanzado
9-1-2,notstarted
9-2-1,retroceso
9-2-2,retroceso
9-3-1,retroceso
9-3-2,notstarted
9-4-1,retroceso
9-4-E1,progreso
9-5-1,progreso
9-5-2,progreso
9-a-1,notstarted
9-b-1,progreso
9-c-1,alcanzado
10-1-1,retroceso
10-2-1,progreso
10-3-1,notstarted
10-4-1,retroceso
10-4-2,noevaluado
10-5-1,notstarted
10-6-1,notapplicable
10-7-1,notstarted
10-7-2,notstarted
10-7-3,notstarted
10-7-4,notstarted
10-a-1,notstarted
10-b-1,notstarted
10-c-1,notstarted
11-1-1,progreso
11-2-1,notstarted
11-3-1,notstarted
11-3-2,alcanzado
11-4-1,alcanzado
11-5-1,alcanzado
11-5-2,alcanzado
11-5-3,notstarted
11-6-1,alcanzado
11-6-2,retroceso
11-7-1,alcanzado
11-7-2,retroceso
11-a-1,alcanzado
11-b-1,notstarted
11-b-2,notstarted
12-1-1,alcanzado
12-2-1,notstarted
12-2-2,progreso
12-3-1,notstarted
12-4-1,notstarted
12-4-2,alcanzado
12-5-1,alcanzado
12-6-1,alcanzado
12-7-1,notstarted
12-8-1,notstarted
12-a-1,alcanzado
12-b-1,notstarted
12-c-1,notstarted
13-1-1,alcanzado
13-1-2,notstarted
13-1-3,alcanzado
13-2-1,notstarted
13-2-2,progreso
13-3-1,notstarted
13-a-1,notapplicable
13-b-1,notapplicable
14-1-1,notstarted
14-2-1,notstarted
14-3-1,alcanzado
14-4-1,notstarted
14-5-1,alcanzado
14-6-1,notstarted
14-7-1,notstarted
14-a-1,notstarted
14-b-1,notstarted
14-c-1,notstarted
15-1-1,alcanzado
15-1-2,noevaluado
15-1-E1,progreso
15-2-1,progreso
15-3-1,progreso
15-4-1,notstarted
15-4-2,alcanzado
15-5-1,notstarted
15-6-1,notstarted
15-7-1,notstarted
15-8-1,alcanzado
15-9-1,
15-a-1,notstarted
15-b-1,notstarted
15-c-1,notstarted
16-1-1,alcanzado
16-1-2,notstarted
16-1-3,notstarted
16-1-4,retroceso
16-1-E1,retroceso
16-10-1,notstarted
16-10-2,notstarted
16-2-1,notstarted
16-2-2,retroceso
16-2-3,notstarted
16-3-1,notstarted
16-3-2,retroceso
16-3-3,notstarted
16-4-1,notstarted
16-4-2,notstarted
16-5-1,notstarted
16-5-2,notstarted
16-6-1,notstarted
16-6-2,progreso
16-7-1,noevaluado
16-7-2,notstarted
16-8-1,notapplicable
16-9-1,alcanzado
16-a-1,notstarted
16-b-1,notstarted
17-1-1,noevaluado
17-1-2,noevaluado
17-10-1,notapplicable
17-11-1,notapplicable
17-12-1,notapplicable
17-13-1,noevaluado
17-14-1,notstarted
17-15-1,notstarted
17-16-1,notstarted
17-17-1,notstarted
17-18-1,notstarted
17-18-2,alcanzado
17-18-3,alcanzado
17-19-1,notstarted
17-19-2,alcanzado
17-2-1,progreso
17-3-1,progreso
17-3-2,noevaluado
17-4-1,notstarted
17-5-1,notstarted
17-6-1,progreso
17-7-1,notstarted
17-8-1,alcanzado
17-9-1,notstarted
